2017 NAICS Code,2017 NAICS Title
623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY 
623990,OTHER RESIDENTIAL CARE FACILITIES 
624110,CHILD AND YOUTH SERVICES 
624120,SERVICES FOR THE ELDERLY AND PERSONS WITH DISABILITIES 
624190,OTHER INDIVIDUAL AND FAMILY SERVICES 
624210,COMMUNITY FOOD SERVICES 
624221,TEMPORARY SHELTERS 
624229,OTHER COMMUNITY HOUSING SERVICES 
624230,EMERGENCY AND OTHER RELIEF SERVICES 
624310,VOCATIONAL REHABILITATION SERVICES 
624410,CHILD DAY CARE SERVICES 
711110,THEATER COMPANIES AND DINNER THEATERS 
711120,DANCE COMPANIES 
711130,MUSICAL GROUPS AND ARTISTS 
711190,OTHER PERFORMING ARTS COMPANIES 
711211,SPORTS TEAMS AND CLUBS 
711212,RACETRACKS 
711219,OTHER SPECTATOR SPORTS 
711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES "
711320,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITHOUT FACILITIES "
711410,"AGENTS AND MANAGERS FOR ARTISTS, ATHLETES, ENTERTAINERS, AND OTHER PUBLIC FIGURES"
711510,"INDEPENDENT ARTISTS, WRITERS, AND PERFORMERS "
712110,MUSEUMS 
712120,HISTORICAL SITES
712130,ZOOS AND BOTANICAL GARDENS 
712190,NATURE PARKS AND OTHER SIMILAR INSTITUTIONS
713110,AMUSEMENT AND THEME PARKS 
713120,AMUSEMENT ARCADES
713210,CASINOS (EXCEPT CASINO HOTELS)
713290,OTHER GAMBLING INDUSTRIES 
713910,GOLF COURSES AND COUNTRY CLUBS
713920,SKIING FACILITIES
713930,MARINAS
713940,FITNESS AND RECREATIONAL SPORTS CENTERS 
713950,BOWLING CENTERS
713990,ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES 
721110,HOTELS (EXCEPT CASINO HOTELS) AND MOTELS 
721120,CASINO HOTELS
721191,BED-AND-BREAKFAST INNS 
721199,ALL OTHER TRAVELER ACCOMMODATION 
721211,RV (RECREATIONAL VEHICLE) PARKS AND CAMPGROUNDS 
721214,RECREATIONAL AND VACATION CAMPS (EXCEPT CAMPGROUNDS) 
721310,"ROOMING AND BOARDING HOUSES, DORMITORIES, AND WORKERS' CAMPS "
722310,FOOD SERVICE CONTRACTORS
722320,CATERERS
722330,MOBILE FOOD SERVICES
722410,DRINKING PLACES (ALCOHOLIC BEVERAGES) 
722511,FULL-SERVICE RESTAURANTS 
722513,LIMITED-SERVICE RESTAURANTS 
722514,"CAFETERIAS, GRILL BUFFETS, AND BUFFETS "
722515,SNACK AND NONALCOHOLIC BEVERAGE BARS 
811111,GENERAL AUTOMOTIVE REPAIR 
811112,AUTOMOTIVE EXHAUST SYSTEM REPAIR 
811113,AUTOMOTIVE TRANSMISSION REPAIR 
811118,OTHER AUTOMOTIVE MECHANICAL AND ELECTRICAL REPAIR AND MAINTENANCE 
811121,"AUTOMOTIVE BODY, PAINT, AND INTERIOR REPAIR AND MAINTENANCE "
811122,AUTOMOTIVE GLASS REPLACEMENT SHOPS 
811191,AUTOMOTIVE OIL CHANGE AND LUBRICATION SHOPS 
811192,CAR WASHES 
811198,ALL OTHER AUTOMOTIVE REPAIR AND MAINTENANCE 
811211,CONSUMER ELECTRONICS REPAIR AND MAINTENANCE 
811212,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE 
811213,COMMUNICATION EQUIPMENT REPAIR AND MAINTENANCE 
811219,OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE 
811310,COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE 
811411,HOME AND GARDEN EQUIPMENT REPAIR AND MAINTENANCE 
811412,APPLIANCE REPAIR AND MAINTENANCE 
811420,REUPHOLSTERY AND FURNITURE REPAIR
811430,FOOTWEAR AND LEATHER GOODS REPAIR
811490,OTHER PERSONAL AND HOUSEHOLD GOODS REPAIR AND MAINTENANCE 
812111,BARBER SHOPS 
812112,BEAUTY SALONS 
812113,NAIL SALONS 
812191,DIET AND WEIGHT REDUCING CENTERS 
812199,OTHER PERSONAL CARE SERVICES 
812210,FUNERAL HOMES AND FUNERAL SERVICES 
812220,CEMETERIES AND CREMATORIES 
812310,COIN-OPERATED LAUNDRIES AND DRYCLEANERS 
812320,DRYCLEANING AND LAUNDRY SERVICES (EXCEPT COIN-OPERATED) 
812331,LINEN SUPPLY 
812332,INDUSTRIAL LAUNDERERS 
812910,PET CARE (EXCEPT VETERINARY) SERVICES 
812921,PHOTOFINISHING LABORATORIES (EXCEPT ONE-HOUR) 
812922,ONE-HOUR PHOTOFINISHING 
812930,PARKING LOTS AND GARAGES 
812990,ALL OTHER PERSONAL SERVICES 
813110,RELIGIOUS ORGANIZATIONS 
813211,GRANTMAKING FOUNDATIONS 
813212,VOLUNTARY HEALTH ORGANIZATIONS 
813219,OTHER GRANTMAKING AND GIVING SERVICES 
813311,HUMAN RIGHTS ORGANIZATIONS 
813312,"ENVIRONMENT, CONSERVATION AND WILDLIFE ORGANIZATIONS "
813319,OTHER SOCIAL ADVOCACY ORGANIZATIONS 
813410,CIVIC AND SOCIAL ORGANIZATIONS 
813910,BUSINESS ASSOCIATIONS 
813920,PROFESSIONAL ORGANIZATIONS 
813930,LABOR UNIONS AND SIMILAR LABOR ORGANIZATIONS 
813940,POLITICAL ORGANIZATIONS 
813990,"OTHER SIMILAR ORGANIZATIONS (EXCEPT BUSINESS, PROFESSIONAL, LABOR, AND POLITICAL ORGANIZATIONS) "
814110,PRIVATE HOUSEHOLDS
921110,EXECUTIVE OFFICES 
921120,LEGISLATIVE BODIES 
921130,PUBLIC FINANCE ACTIVITIES 
921140,"EXECUTIVE AND LEGISLATIVE OFFICES, COMBINED "
921150,AMERICAN INDIAN AND ALASKA NATIVE TRIBAL GOVERNMENTS 
921190,OTHER GENERAL GOVERNMENT SUPPORT 
922110,COURTS 
922120,POLICE PROTECTION 
922130,LEGAL COUNSEL AND PROSECUTION 
922140,CORRECTIONAL INSTITUTIONS 
922150,PAROLE OFFICES AND PROBATION OFFICES 
922160,FIRE PROTECTION 
922190,"OTHER JUSTICE, PUBLIC ORDER, AND SAFETY ACTIVITIES "
923110,ADMINISTRATION OF EDUCATION PROGRAMS 
923120,ADMINISTRATION OF PUBLIC HEALTH PROGRAMS 
923130,"ADMINISTRATION OF HUMAN RESOURCE PROGRAMS (EXCEPT EDUCATION, PUBLIC HEALTH, AND VETERANS' AFFAIRS PROGRAMS) "
923140,ADMINISTRATION OF VETERANS' AFFAIRS 
924110,ADMINISTRATION OF AIR AND WATER RESOURCE AND SOLID WASTE MANAGEMENT PROGRAMS 
924120,ADMINISTRATION OF CONSERVATION PROGRAMS 
925110,ADMINISTRATION OF HOUSING PROGRAMS 
925120,ADMINISTRATION OF URBAN PLANNING AND COMMUNITY AND RURAL DEVELOPMENT 
926110,ADMINISTRATION OF GENERAL ECONOMIC PROGRAMS 
926120,REGULATION AND ADMINISTRATION OF TRANSPORTATION PROGRAMS 
926130,"REGULATION AND ADMINISTRATION OF COMMUNICATIONS, ELECTRIC, GAS, AND OTHER UTILITIES "
926140,REGULATION OF AGRICULTURAL MARKETING AND COMMODITIES 
926150,"REGULATION, LICENSING, AND INSPECTION OF MISCELLANEOUS COMMERCIAL SECTORS "
927110,SPACE RESEARCH AND TECHNOLOGY 
928110,NATIONAL SECURITY 
928120,INTERNATIONAL AFFAIRS 
999990,UNCLASSIFIED ESTABLISHMENTS
